Book-Title,Book-Author,ISBN,Year-Of-Publication,Image-URL-S,num_ratings,avg_rating
Locked in Time (Laurel Leaf Books),LOIS DUNCAN,0440949424,1986,http://images.amazon.com/images/P/0440949424.01.THUMBZZZ.jpg,14.0,2.5714285714285716
Contact,Susan Grant,0505524996,2002,http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg,10.0,0.8
The Brimstone Wedding,Barbara Vine,0140252800,1997,http://images.amazon.com/images/P/0140252800.01.THUMBZZZ.jpg,9.0,4.222222222222222
Through Wolf's Eyes (Wolf),Jane Lindskold,0812575482,2002,http://images.amazon.com/images/P/0812575482.01.THUMBZZZ.jpg,15.0,3.6666666666666665
Puerto Vallarta Squeeze,Robert James Waller,044651747X,1995,http://images.amazon.com/images/P/044651747X.01.THUMBZZZ.jpg,57.0,2.210526315789474
Tree Grows In Brooklyn,Betty Smith,0060801263,1988,http://images.amazon.com/images/P/0060801263.01.THUMBZZZ.jpg,22.0,2.9545454545454546
"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,0061030147,2001,http://images.amazon.com/images/P/0061030147.01.THUMBZZZ.jpg,9.0,1.8888888888888888
Wish You Well,David Baldacci,0446527165,2000,http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg,84.0,2.9523809523809526
The Hitchhiker's Guide to the Galaxy,Douglas Adams,0671461494,1982,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg,41.0,3.6341463414634148
Crow Lake (Today Show Book Club #7),Mary Lawson,0385337639,2003,http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg,66.0,3.393939393939394
My Antonia,Willa Cather,039575514X,1995,http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg,26.0,4.576923076923077
Pen Pals,Olivia Goldsmith,0451206673,2002,http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg,58.0,3.1206896551724137
Bridget Jones's Diary,Helen Fielding,0330332775,1997,http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,130.0,4.130769230769231
Pride and Prejudice (Dover Thrift Editions),Jane Austen,0486284735,1995,http://images.amazon.com/images/P/0486284735.01.THUMBZZZ.jpg,35.0,4.257142857142857
The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,0399138684,1994,http://images.amazon.com/images/P/0399138684.01.THUMBZZZ.jpg,27.0,2.3333333333333335
Night Mare (Xanth Novels (Paperback)),Piers Anthony,0345354931,1990,http://images.amazon.com/images/P/0345354931.01.THUMBZZZ.jpg,26.0,4.230769230769231
The Martian Chronicles,RAY BRADBURY,0553278223,1984,http://images.amazon.com/images/P/0553278223.01.THUMBZZZ.jpg,65.0,3.9692307692307693
Kabale Und Liebe,Schiller,3150000335,0,http://images.amazon.com/images/P/3150000335.01.THUMBZZZ.jpg,9.0,2.6666666666666665
Fahrenheit 451,Ray Bradbury,3257208626,1994,http://images.amazon.com/images/P/3257208626.01.THUMBZZZ.jpg,15.0,4.2
Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,3257233051,2002,http://images.amazon.com/images/P/3257233051.01.THUMBZZZ.jpg,19.0,5.105263157894737
QuerschÃ?Â¼sse - Downsize This!,Michael Moore,3492045642,2003,http://images.amazon.com/images/P/3492045642.01.THUMBZZZ.jpg,13.0,4.538461538461538
Die Korrekturen.,Jonathan Franzen,3498020862,2002,http://images.amazon.com/images/P/3498020862.01.THUMBZZZ.jpg,15.0,1.6
Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,3596292646,2000,http://images.amazon.com/images/P/3596292646.01.THUMBZZZ.jpg,10.0,2.8
The God of Small Things,Arundhati Roy,0060977493,1998,http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg,226.0,3.2964601769911503
The Big Bad Wolf: A Novel,James Patterson,0316602906,2003,http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg,120.0,3.466666666666667
Four Blind Mice,James Patterson,0316693006,2002,http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg,122.0,4.114754098360656
Private Screening,Richard North Patterson,0345311396,1994,http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg,56.0,1.4821428571428572
Congo,Michael Crichton,0345378490,1995,http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg,288.0,2.46875
Protect and Defend,Richard North Patterson,0345404793,2001,http://images.amazon.com/images/P/0345404793.01.THUMBZZZ.jpg,59.0,2.7966101694915255
The Tall Pine Polka,Lorna Landvik,0345433173,1999,http://images.amazon.com/images/P/0345433173.01.THUMBZZZ.jpg,14.0,2.0714285714285716
Memoirs of a Geisha,Arthur Golden,0375400117,1997,http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg,83.0,4.710843373493976
Plainsong (Vintage Contemporaries),KENT HARUF,0375705856,2000,http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg,156.0,3.301282051282051
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,0380717018,1992,http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg,135.0,2.8
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,0380718332,1993,http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg,184.0,2.75
Petals on the River,Kathleen E. Woodiwiss,038076654X,1997,http://images.amazon.com/images/P/038076654X.01.THUMBZZZ.jpg,26.0,2.0
The Elusive Flame,Kathleen E. Woodiwiss,0380807866,1999,http://images.amazon.com/images/P/0380807866.01.THUMBZZZ.jpg,29.0,2.0344827586206895
Legacy of Silence,Belva Plain,0385316895,1998,http://images.amazon.com/images/P/0385316895.01.THUMBZZZ.jpg,12.0,4.166666666666667
The Brethren,JOHN GRISHAM,0385497466,2000,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg,144.0,3.0694444444444446
The King of Torts,John Grisham,0385508042,2003,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg,210.0,3.142857142857143
The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,0385509456,2003,http://images.amazon.com/images/P/0385509456.01.THUMBZZZ.jpg,82.0,3.7560975609756095
Bleachers,John Grisham,0385511612,2003,http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg,151.0,3.2582781456953644
Sisterhood of the Traveling Pants,ANN BRASHARES,0385730586,2003,http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg,130.0,3.8692307692307693
Only Love (Magical Love),Erich Segal,0425164403,1998,http://images.amazon.com/images/P/0425164403.01.THUMBZZZ.jpg,17.0,2.176470588235294
All or Nothing (Wheeler Large Print Books),Elizabeth Adler,0440234964,2000,http://images.amazon.com/images/P/0440234964.01.THUMBZZZ.jpg,10.0,0.0
Roses Are Red (Alex Cross Novels),James Patterson,0446605484,2001,http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg,230.0,3.0
The Rescue,Nicholas Sparks,0446610399,2001,http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg,195.0,3.3846153846153846
Manhattan Hunt Club,JOHN SAUL,0449006522,2002,http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg,111.0,3.5045045045045047
Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,0449911004,1996,http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg,79.0,3.2658227848101267
Pet Sematary,Stephen King,0451162072,1994,http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg,68.0,2.838235294117647
Silent Snow,Steve Thayer,0451186648,2000,http://images.amazon.com/images/P/0451186648.01.THUMBZZZ.jpg,38.0,2.6315789473684212
Girl with a Pearl Earring,Tracy Chevalier,0452282152,2001,http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg,526.0,4.218631178707224
Summer of Storms,Judith Kelman,051513290X,2002,http://images.amazon.com/images/P/051513290X.01.THUMBZZZ.jpg,40.0,2.3
The Patient,Michael Palmer,0553580388,2001,http://images.amazon.com/images/P/0553580388.01.THUMBZZZ.jpg,61.0,2.2459016393442623
Clifford's Sports Day,Norman Bridwell,0590629719,1996,http://images.amazon.com/images/P/0590629719.01.THUMBZZZ.jpg,12.0,3.1666666666666665
Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,0671023616,1998,http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg,81.0,3.9135802469135803
Deception Point,Dan Brown,0671027387,2002,http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg,247.0,2.8623481781376516
Tis : A Memoir,Frank McCourt,0684848783,1999,http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg,174.0,3.160919540229885
A Monk Swimming,Malachy McCourt,0786863986,1998,http://images.amazon.com/images/P/0786863986.01.THUMBZZZ.jpg,34.0,2.3823529411764706
The Silent Cry (William Monk Novels (Paperback)),Anne Perry,0804117934,1998,http://images.amazon.com/images/P/0804117934.01.THUMBZZZ.jpg,21.0,1.4761904761904763
The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,140003180X,2004,http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg,58.0,3.293103448275862
Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,155874262X,1993,http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg,205.0,3.575609756097561
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,0060987103,1996,http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg,326.0,3.766871165644172
Life of Pi,Yann Martel,0151008116,2002,http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg,170.0,4.5
A Judgement in Stone,Ruth Rendell,0375704965,2000,http://images.amazon.com/images/P/0375704965.01.THUMBZZZ.jpg,17.0,3.0588235294117645
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,0525947647,2003,http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg,143.0,3.9160839160839163
Secret History,DONNA TARTT,0804111359,1993,http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg,167.0,2.9940119760479043
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1558744150,1996,http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg,139.0,3.697841726618705
The Weight of Water,Anita Shreve,0316782505,2001,http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg,117.0,3.0256410256410255
Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,006102063X,2002,http://images.amazon.com/images/P/006102063X.01.THUMBZZZ.jpg,19.0,3.9473684210526314
Night Watch,Terry Pratchett,0060013117,2002,http://images.amazon.com/images/P/0060013117.01.THUMBZZZ.jpg,15.0,3.533333333333333
Thief of Time,Terry Pratchett,0060199563,2001,http://images.amazon.com/images/P/0060199563.01.THUMBZZZ.jpg,17.0,1.8235294117647058
Peter Pan: The Original Story (Peter Pan),J. M. Barrie,0060563079,2003,http://images.amazon.com/images/P/0060563079.01.THUMBZZZ.jpg,11.0,3.727272727272727
"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,0064472264,2002,http://images.amazon.com/images/P/0064472264.01.THUMBZZZ.jpg,30.0,3.3333333333333335
Mansfield Park (Penguin Popular Classics),Jane Austen,0140620664,1994,http://images.amazon.com/images/P/0140620664.01.THUMBZZZ.jpg,21.0,4.476190476190476
The Winter King: A Novel of Arthur (The Warlord Chronicles: I),Bernard Cornwell,0312156960,1997,http://images.amazon.com/images/P/0312156960.01.THUMBZZZ.jpg,15.0,2.8
Moonheart (Newford),Charles de Lint,0312890044,1994,http://images.amazon.com/images/P/0312890044.01.THUMBZZZ.jpg,25.0,4.16
The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,0375751513,1998,http://images.amazon.com/images/P/0375751513.01.THUMBZZZ.jpg,26.0,2.576923076923077
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,0375823352,2002,http://images.amazon.com/images/P/0375823352.01.THUMBZZZ.jpg,9.0,3.2222222222222223
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,037582345X,2002,http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg,17.0,4.235294117647059
"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole",Sue Townsend,0380730448,1997,http://images.amazon.com/images/P/0380730448.01.THUMBZZZ.jpg,19.0,5.578947368421052
Born Confused,Tanuja Desai Hidier,0439510112,2003,http://images.amazon.com/images/P/0439510112.01.THUMBZZZ.jpg,16.0,2.625
Confessions of a Shopaholic,SOPHIE KINSELLA,0440241413,2003,http://images.amazon.com/images/P/0440241413.01.THUMBZZZ.jpg,82.0,3.817073170731707
Making Minty Malone,Isabel Wolff,0451409256,2000,http://images.amazon.com/images/P/0451409256.01.THUMBZZZ.jpg,43.0,3.116279069767442
Little Women (Signet Classic),Louisa May Alcott,0451523415,1988,http://images.amazon.com/images/P/0451523415.01.THUMBZZZ.jpg,24.0,4.625
Emma (Signet Classics (Paperback)),Jane Austen,0451526279,1996,http://images.amazon.com/images/P/0451526279.01.THUMBZZZ.jpg,30.0,1.9
